Driving City Style ,9,1 ,"",6 ,"","","",5 ,"",(No Deathclaws / Dogs) ,"30% Pilot, +2 bonus when driving "
Explorer ,9,1 ,"","","","","","","","",Better chance to find interesting things
Flower Child ,9,1 ,"","",5 ,"","","","","","50% against addiction, 50% withdrawal "
Here and Now ,9,1 ,"","","","","","","","",Gain a level
Karma Beacon ,9,1 ,"","","",6 ,"","","","",Karma doubled for reactions
Light Step ,9,1 ,"","","","","",5 ,5 ,"",+4 AG against triggering traps
Master Trader ,9,1 ,"","","",7 ,"","","","Barter 60%, (No Deathclaws / Dogs) ",30% Barter
Mutate ,9,1 ,"","","","","","","","",Switch Traits
Mysterious Stranger ,9,1 ,"","","","","","",4 ,"",Chance to gain temporary ally
Pyromaniac ,9,1 ,"","","","","","","",Big Guns 75% ,+5 damage with fire-based weapons
Scrounger ,9,1 ,"","","","","","",8 ,"",Double ammunition found
Sharpshooter ,9,1 ,"",7 ,"","",6 ,"","","",+2 PE to determine range modifiers
Speaker ,9,1 ,"","","","","","","","Speech 50%, (No Deathclaws / Dogs) ",20% Speech
Hide of Scars ,10,2 ,"","",6 ,"","","","",(Only Deathclaws) ,+15% to all Resistances except fire
Action Boy (or Girl) ,12,2 ,"","","","","",5 ,"","",+1 AP per combat per level
Bonsai ,12,1 ,"","","","","","","","Outdoorsman 50%, Science 40%, (Only Ghouls) ",Steady supply of fruit
Cult of Personality ,12,1 ,"","","",10 ,"","","","",Positive modifier for negative karma
Gain Agility ,12,1 ,"","","","","","","","",+1 AP permanently
Gain Charisma ,12,1 ,"","","","","","","","",+1 CH permanently
Gain Endurance ,12,1 ,"","","","","","","","",+1 EN permanently
Gain Intelligence ,12,1 ,"","","","","","","","",+1 IN permanently
Gain Luck ,12,1 ,"","","","","","","","",+1 LK permanently
Gain Perception ,12,1 ,"","","","","","","","",+1 PE permanently
Gain Strength ,12,1 ,"","","","","","","","",+1 ST permanently
HtH Evade ,12,1 ,"","","","","","","",Unarmed 75% ,+3 to AC per AP at end of combat turn
Livegiver ,12,2 ,"","",4 ,"","","","","",+4 HP each level gain per level
Living Anatomy ,12,1 ,"","","","","","","",Doctor 60% ,"+10% Doctor, +5 damage to living creatures "
Master Theif ,12,1 ,"","","","","","","","Lockpick 50%, Steal 50%, (No Deathclaws / Dogs) ",+15% Lockpick and Steal
Medic ,12,1 ,"","","","","","","",First Aid OR Doctor 40% ,+10% First Aid and Doctor
Mr. (or Ms.) Fixit ,12,1 ,"","","","","","","","Repair OR Science 40%, (No Deathclaws / Dogs) ",+10% Science and Repair
Road Warrior ,12,1 ,"","","","",6 ,"","","Pilot 60%, (No Deathclaws / Dogs) ",No penalties while driving and attacking
Tag! ,12,1 ,"","","","","","","","",Pick an additional Tag skill
Talon of Fear ,12,1 ,6 ,"","","","","","","Unarmed 60%, (Only Deathclaws) ",Unarmed attacks carry Type B poison
Team Player ,12,1 ,"","","",4 ,"","","","",+10% all skills when entire party is near
Tough Hide ,12,2 ,"","",< 8 ,"","","","",(Only Mutants) ,"+15 to AC, +10% to all Resistances "
Weapon Handling ,12,1 ,"","","","","",5 ,"","",+3 ST for handling and firing weapons
Divine Favor ,14,1 ,"","","",8 ,"","","","",Re-roll any roll once a day
Bonus HtH Attacks ,15,1 ,"","","","","",6 ,"","",-1 AP cost of HtH or Melee attack
Bonus Rate of Fire ,15,1 ,"",6 ,"","",6 ,7 ,"",(No Deathclaws / Dogs) ,-1 AP cost of Ranged attack
Mental Block ,15,1 ,"","","","","","","","",+1 PE to determine range and find traps
Pickpocket ,15,1 ,"","","","","",8 ,"","Steal 80%, (No Deathclaws / Dogs) ",+25% Steal
Bend the Rules ,16,1 ,"","","","","","",6 ,"",Ignore restrictions but race for next perk
Silent Death ,18,1 ,"","","","","",10 ,"","Sneak 80%, Unarmed 80% ",Double damage from behind while sneaking
Break the Rules ,20,1 ,"","","","","","",6 ,"",Ignore restrictions and race for next perk
Slayer ,24,1 ,8 ,"","","","",8 ,"",Unarmed 80% ,Critical Hit with HtH or Melee against LK
Sniper ,24,1 ,"",8 ,"","","",8 ,"","Small Guns 80%, (No Deathclaws / Dogs) ",Critical Hit with Ranged against LK
